ts_us,device_id,gpu_name,mode,from_gpu_mhz,from_mem_mhz,to_gpu_mhz,to_mem_mhz,order,api_mem_us,api_gpu_us,api_total_us,settle_total_us,settle_after_calls_us,polls,stable_n,poll_us,timeout_ms,final_gpu_mhz,final_mem_mhz,power_mw,energy_mj,status
3790096749,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86513016,Not Supported
3790097218,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86513016,Not Supported
3790097684,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86513016,Not Supported
3790098158,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,51194,86513016,Not Supported
3790098619,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,51194,86513016,Not Supported
3790099118,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,1,0,0,0,5,2000,2000,0,0,51194,86513016,Not Supported
3790099631,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,51194,86513016,Not Supported
3790100091,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,1,0,0,0,5,2000,2000,0,0,51194,86513016,Not Supported
3790100611,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86513016,Not Supported
3790101081,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,51194,86513016,Not Supported
3790103670,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86514042,Not Supported
3790104141,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86514042,Not Supported
3790104655,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,1,0,0,0,5,2000,2000,0,0,51194,86514042,Not Supported
3790105118,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,51194,86514042,Not Supported
3790105595,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86514042,Not Supported
3790106098,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86514042,Not Supported
3790106553,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86514042,Not Supported
3790107035,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86514042,Not Supported
3790107513,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,51194,86514042,Not Supported
3790107973,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86514042,Not Supported
3790108471,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,51194,86514042,Not Supported
3790108961,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,51194,86514042,Not Supported
3790109420,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,51194,86514042,Not Supported
3790109917,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,51194,86514042,Not Supported
3790110379,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86514042,Not Supported
3790110848,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86514042,Not Supported
3790111391,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86514042,Not Supported
3790111845,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,51194,86514042,Not Supported
3790112322,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86514042,Not Supported
3790112807,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86514042,Not Supported
3790113262,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86514042,Not Supported
3790113849,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,51194,86514042,Not Supported
3790114347,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86514042,Not Supported
3790114817,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86514042,Not Supported
3790115361,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86514042,Not Supported
3790115822,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86514042,Not Supported
3790116311,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,51194,86514042,Not Supported
3790116795,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,51194,86514042,Not Supported
3790117252,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86514042,Not Supported
3790117747,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86514042,Not Supported
3790118244,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,1,0,0,0,5,2000,2000,0,0,51194,86514042,Not Supported
3790118698,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86514042,Not Supported
