type,workload,file,ts_us,device_id,from_gpu_mhz,to_gpu_mhz,final_gpu_mhz,api_us,settle_after_call_us,settle_total_us,polls,stable_n,power_mw,energy_mj_best,status
comm,low,dvfs_comm_low.csv,14586686667,0,975,690,690,10235,22961,33198,10,10,27378,9837.0,ok(locked)
comm,high,dvfs_comm_high.csv,17394165595,0,1252,975,975,12506,20684,33191,10,10,31758,12663.0,ok(locked)
comm,mid,dvfs_comm_mid.csv,16615397833,0,1530,1252,1252,12497,20684,33182,10,10,40033,17016.0,ok(locked)
comm,mid,dvfs_comm_mid.csv,16552815002,0,1530,1252,1252,12704,20463,33168,10,10,39546,16840.0,ok(locked)
comm,mid,dvfs_comm_mid.csv,16465196930,0,1252,1530,1530,12750,20408,33160,10,10,49248,13985.0,ok(locked)
comm,low,dvfs_comm_low.csv,14962708283,0,1530,1252,1252,12579,20541,33121,10,10,38086,16423.0,ok(locked)
comm,low,dvfs_comm_low.csv,14313196316,0,412,690,690,10149,22965,33116,10,10,26891,8008.0,ok(locked)
comm,low,dvfs_comm_low.csv,14969865257,0,1530,1252,1252,13011,20093,33107,10,10,38086,16362.0,ok(locked)
comm,high,dvfs_comm_high.csv,17633523519,0,1530,1252,1252,12298,20802,33101,10,10,40033,16788.0,ok(locked)
comm,high,dvfs_comm_high.csv,17481749858,0,1252,1530,1530,11895,21204,33100,10,10,49248,13341.0,ok(locked)
comm,high,dvfs_comm_high.csv,17642009450,0,1530,1252,1252,12181,20902,33084,10,10,40033,16833.0,ok(locked)
comm,mid,dvfs_comm_mid.csv,16594463465,0,1530,1252,1252,12302,20764,33067,10,10,39546,12976.0,ok(locked)
comm,mid,dvfs_comm_mid.csv,16569649170,0,1530,1252,1252,12345,20659,33005,10,10,39546,16794.0,ok(locked)
comm,high,dvfs_comm_high.csv,17591970007,0,1530,1252,1252,11798,21193,32992,10,10,40033,17056.0,ok(locked)
comm,high,dvfs_comm_high.csv,17000171910,0,690,412,412,12402,20584,32987,10,10,26405,9421.0,ok(locked)
comm,high,dvfs_comm_high.csv,17558001486,0,1530,1252,1252,12125,20850,32976,10,10,40033,17042.0,ok(locked)
comm,low,dvfs_comm_low.csv,15014406814,0,1530,1252,1252,12791,20181,32974,10,10,38086,16081.0,ok(locked)
comm,high,dvfs_comm_high.csv,17001499760,0,690,412,412,12242,20724,32967,10,10,26422,9410.0,ok(locked)
comm,high,dvfs_comm_high.csv,17617956475,0,1530,1252,1252,12044,20917,32962,10,10,40033,16952.0,ok(locked)
comm,high,dvfs_comm_high.csv,17567232762,0,1530,1252,1252,12047,20914,32962,10,10,40033,16959.0,ok(locked)
comm,mid,dvfs_comm_mid.csv,16626016967,0,1530,1252,1252,12263,20667,32931,10,10,39546,16946.0,ok(locked)
comm,high,dvfs_comm_high.csv,17359743361,0,1252,975,975,12295,20611,32907,10,10,31758,12649.0,ok(locked)
comm,low,dvfs_comm_low.csv,15009921891,0,1530,1252,1252,12575,20311,32887,10,10,38573,16433.0,ok(locked)
comm,low,dvfs_comm_low.csv,14976704841,0,1530,1252,1252,12698,20181,32879,10,10,38086,16333.0,ok(locked)
comm,high,dvfs_comm_high.csv,17365811417,0,1252,975,975,11818,21050,32868,10,10,31758,12621.0,ok(locked)
comm,low,dvfs_comm_low.csv,14584734904,0,975,690,690,10130,22718,32850,10,10,27378,9605.0,ok(locked)
comm,low,dvfs_comm_low.csv,15001125222,0,1530,1252,1252,12890,19951,32842,10,10,38086,16358.0,ok(locked)
comm,high,dvfs_comm_high.csv,17451043041,0,1252,1530,1530,12368,20471,32841,10,10,48762,10440.0,ok(locked)
comm,low,dvfs_comm_low.csv,14981914295,0,1530,1252,1252,12462,20372,32836,10,10,38573,16495.0,ok(locked)
comm,high,dvfs_comm_high.csv,17552140778,0,1530,1252,1252,12156,20643,32800,10,10,39546,18099.0,ok(locked)
comm,mid,dvfs_comm_mid.csv,16604349862,0,1530,1252,1252,12101,20668,32770,10,10,40033,16897.0,ok(locked)
comm,mid,dvfs_comm_mid.csv,16614227217,0,1530,1252,1252,12160,20582,32744,10,10,39546,16900.0,ok(locked)
comm,mid,dvfs_comm_mid.csv,16606583379,0,1530,1252,1252,11982,20754,32737,10,10,40033,16957.0,ok(locked)
comm,mid,dvfs_comm_mid.csv,16579830623,0,1530,1252,1252,12217,20510,32728,10,10,39546,17011.0,ok(locked)
comm,mid,dvfs_comm_mid.csv,16192328210,0,975,690,690,12281,20442,32724,10,10,28838,10059.0,ok(locked)
comm,mid,dvfs_comm_mid.csv,16517651031,0,1252,1530,1530,12371,20345,32717,10,10,48762,13077.0,ok(locked)
comm,low,dvfs_comm_low.csv,15041396018,0,1530,1252,1252,12775,19923,32699,10,10,38086,16097.0,ok(locked)
comm,mid,dvfs_comm_mid.csv,16428516583,0,1252,975,975,12018,20668,32686,10,10,31758,9756.0,ok(locked)
comm,mid,dvfs_comm_mid.csv,16433664873,0,1252,975,975,12122,20554,32677,10,10,31758,12732.0,ok(locked)
comm,low,dvfs_comm_low.csv,15008289866,0,1530,1252,1252,12198,20473,32672,10,10,38086,16362.0,ok(locked)
comm,mid,dvfs_comm_mid.csv,15120632743,0,135,412,412,12419,20240,32660,10,10,25935,8246.0,ok(locked)
comm,mid,dvfs_comm_mid.csv,16558538214,0,1530,1252,1252,12043,20596,32640,10,10,40033,16947.0,ok(locked)
comm,mid,dvfs_comm_mid.csv,16451469235,0,1252,1530,1530,12275,20355,32631,10,10,48762,13053.0,ok(locked)
comm,low,dvfs_comm_low.csv,15055737631,0,1530,1252,1252,12298,20310,32609,10,10,38086,16107.0,ok(locked)
comm,low,dvfs_comm_low.csv,15046924131,0,1530,1252,1252,12243,20363,32607,10,10,38573,16103.0,ok(locked)
comm,low,dvfs_comm_low.csv,15048877335,0,1530,1252,1252,12414,20175,32589,10,10,38086,16315.0,ok(locked)
comm,mid,dvfs_comm_mid.csv,16549858150,0,1530,1252,1252,11966,20591,32558,10,10,39546,17790.0,ok(locked)
comm,low,dvfs_comm_low.csv,14583102739,0,975,690,690,10231,22285,32517,10,10,27378,9608.0,ok(locked)
comm,mid,dvfs_comm_mid.csv,16556623011,0,1530,1252,1252,11293,21198,32492,10,10,40033,16950.0,ok(locked)
comm,mid,dvfs_comm_mid.csv,16628231505,0,1530,1252,1252,11917,20570,32488,10,10,40033,16989.0,ok(locked)
comm,low,dvfs_comm_low.csv,14971495494,0,1530,1252,1252,11916,20538,32455,10,10,38086,16295.0,ok(locked)
comm,mid,dvfs_comm_mid.csv,16499834119,0,1252,1530,1530,11956,20477,32434,10,10,49248,13114.0,ok(locked)
comm,low,dvfs_comm_low.csv,14975072747,0,1530,1252,1252,11435,20992,32428,10,10,38573,16319.0,ok(locked)
comm,low,dvfs_comm_low.csv,14955226260,0,1252,1530,1530,12342,20077,32420,10,10,47302,12565.0,ok(locked)
comm,low,dvfs_comm_low.csv,14968233559,0,1530,1252,1252,11077,21310,32389,10,10,38573,16360.0,ok(locked)
comm,low,dvfs_comm_low.csv,15030341651,0,1530,1252,1252,11514,20753,32268,10,10,38086,16320.0,ok(locked)
comm,low,dvfs_comm_low.csv,14319685553,0,412,690,690,10406,21853,32261,10,10,26909,7974.0,ok(locked)
